12
88 12
0 0 10.
0 1 11.
1 0 11.
1 1 9.
1 2 10.
2 0 10.
2 1 10.
2 2 8 .
2 3 9.
3 0 9.
3 1 9.
3 2 9.
3 3 7.
3 4 8.
4 0 8.
4 1 8.
4 2 8.
4 3 8.
4 4 6.
4 5 7.
5 0 7.
5 1 7.
5 2 7.
5 3 7.
5 4 7.
5 5 5.
5 6 6.
6 0 6.
6 1 6.
6 2 6.
6 3 6.
6 4 6.
6 5 6.
6 6 4.
6 7 5.
7 0 5.
7 1 5.
7 2 5.
7 3 5.
7 4 5.
7 5 5.
7 6 5.
7 7 3.
7 8 4.
8 0 4.
8 1 4.
8 2 4.
8 3 4.
8 4 4.
8 5 4.
8 6 4.
8 7 4.
8 8 2.
8 9 3.
9 0 3.
9 1 3.
9 2 3.
9 3 3.
9 4 3.
9 5 3.
9 6 3.
9 7 3.
9 8 3.
9 9 1.
9 10 2.
10 0 2.
10 1 2.
10 2 2.
10 3 2.
10 4 2.
10 5 2.
10 6 2.
10 7 2.
10 8 2.
10 9 2.
10 11 1.
11 0 1.
11 1 1.
11 2 1.
11 3 1.
11 4 1.
11 5 1.
11 6 1.
11 7 1.
11 8 1.
11 9 1.
11 10 1.
11 11 -1.
0 21.
1 30.
2 37.
3 42.
4 45.
5 46.
6 45.
7 42.
8 37.
9 30.
10 21.
11 12.
